,Province,new,total,WOJ,lat,long
0,DOLNOŚLĄSKIE,8.0,8.0,2,51.1078852,17.0385376
1,KUJAWSKO-POMORSKIE,4.0,12.0,4,53.01375,18.59814
2,LUBELSKIE,3.0,15.0,6,51.246452,22.568445
3,LUBUSKIE,0.0,15.0,8,51.935619,15.506186
4,MAZOWIECKIE,20.0,35.0,14,52.232222,21.008333
5,MAŁOPOLSKIE,2.0,37.0,12,50.061389,19.938333
6,OPOLSKIE,0.0,37.0,16,50.664722,17.926944
7,PODKARPACKIE,6.0,43.0,18,50.033611,22.004722
8,PODLASKIE,2.0,45.0,20,53.135278,23.145556
9,POMORSKIE,4.0,49.0,22,54.366667,18.633333
10,WARMIŃSKO-MAZURSKIE,3.0,52.0,28,53.773056,20.476111
11,WIELKOPOLSKIE,13.0,65.0,30,52.408333,16.934167
12,ZACHODNIOPOMORSKIE,1.0,66.0,32,53.438056,14.542222
13,ŁÓDZKIE,34.0,100.0,10,51.776667,19.454722
14,ŚLĄSKIE,10.0,110.0,24,50.264167,19.023611
15,ŚWIĘTOKRZYSKIE,1.0,111.0,26,50.874167,20.633333
